x,y
0.193,0.445
0.111,0.92
0.585,0.991
0.87,0.551
0.749,0.694
0.293,0.72
0.38,0.126
0.72,0.865
0.746,0.822
0.047,0.345
0.505,0.728
0.616,0.875
0.199,0.209
0.598,0.661
0.551,0.19
0.133,0.588
0.629,0.513
0.679,0.629
0.299,0.539
0.946,0.414
0.327,0.627
0.387,0.496
0.228,0.325
0.912,0.517
0.313,0.09
0.963,0.827
0.397,0.812
0.009,0.344
0.046,0.354
0.36,0.497
0.361,0.548
0.615,0.798
0.555,0.774
0.882,0.338
0.339,0.133
0.516,0.081
0.007,0.285
0.132,0.746
0.241,0.004
0.989,0.873
0.193,0.581
0.615,0.439
0.776,0.965
0,0.258
0.099,0.57
0.48,0.413
0.023,0.462
0.067,0.325
0.708,0.285
0.379,0.413
0.988,0.278
0.755,0.753
0.619,0.792
0.75,0.865
0.972,0.378
0.389,0.263
0.974,0.354
0.913,0.499
0.437,0.664
0.683,0.006
0.644,0.257
0.086,0.838
0.976,0.993
0.558,0.55
0.965,0.597
0.41,0.065
0.943,0.948
0.2,0.971
0.425,0.678
0.481,0.235
0.859,0.416
0.132,0.192
0.015,0.703
0.537,0.599
0.847,0.359
0.021,0.305
0.954,0.177
0.671,0.246
0.485,0.501
0.869,0.823
0.778,0.956
0.687,0.119
0.027,0.311
0.15,0.977
0.215,0.145
0.907,0.149
0.167,0.219
0.233,0.166
0.302,0.418
0.021,0.217
0.986,0.707
0.888,0.173
0.285,0.49
0.648,0.346
0.929,0.167
0.746,0.695
0.046,0.171
0.096,0.646
0.832,0.41
0.651,0.787
0.635,0.733
0.112,0.232
0.768,0.011
0.049,0.373
0.514,0.803
0.532,0.443
0.143,0.63
0.638,0.189
0.629,0.723
0.983,0.004
0.502,0.45
0.881,0.801
0.933,0.189
0.925,0.218
0.899,0.649
0.93,0.081
0.383,0.215
0.072,0.015
0.501,0.116
0.245,0.434
0.165,0.544
0.407,0.394
0.856,0.368
0.312,0.988
0.531,0.451
0.731,0.6
0.194,0.25
0.277,0.302
0.33,0.669
0.782,0.697
0.867,0.879
0.184,0.257
0.788,0.31
0.146,0.355
0.213,0.064
0.208,0.241
0.971,0.644
0.421,0.619
0.481,0.988
0.559,0.469
0.989,0.327
0.088,0.408
0.425,0.518
0.257,0.955
0.416,0.105
0.453,0.365
0.56,0.771
0.978,0.452
0.707,0.543
0.412,0.104
0.226,0.871
0.237,0.434
0.819,0.835
0.395,0.17
0.313,0.722
0.081,0.985
0.371,0.906
0.406,0.057
0.421,0.415
0.356,0.651
0.334,0.217
0.719,0.14
0.65,0.564
0.343,0.866
0.63,0.084
0.251,0.98
0.321,0.84
0.995,0.909
0.439,0.37
0.871,0.796
0.006,0.047
0.071,0.262
0.535,0.411
0.542,0.463
0.396,0.912
0.33,0.706
0.3,0.111
0.564,0.945
0.964,0.054
0.763,0.497
0.368,0.185
0.505,0.905
0.423,0.193
0.21,0.484
0.809,0.386
0.618,0.905
0.811,0.337
0.812,0.264
0.247,0.106
0.061,0.838
0.908,0.359
0.206,0.235
0.915,0.228
0.987,0.65
0.905,0.397
0.528,0.618
0.244,0.189
0.463,0.147
0.051,0.584
0.27,0.915
0.156,0.235
0.403,0.545
0.275,0.311
0.677,0.795
0.448,0.974
0.126,0.671
0.166,0.238
0.84,0.275
0.43,0.38
0.953,0.974
0.058,0.055
0.916,0.737
0.849,0.382
0.192,0.334
0.827,0.502
0.209,0.457
0.497,0.479
0.813,0.717
0.111,0.451
0.029,0.46
0.753,0.269
0.217,0.407
0.524,0.147
0.746,0.167
0.109,0.181
0.962,0.876
0.416,0.322
0.256,0.655
0.817,0.298
0.413,0.841
0.179,0.108
0.503,0.553
0.119,0.856
0.58,0.777
0.144,0.378
0.526,0.154
0.185,0.228
0.985,0.429
0.411,0.75
0.689,0.414
0.215,0.623
0.936,0.451
0.125,0.842
0.601,0.035
0.754,0.825
0.293,0.625
0.735,0.092
0.265,0.26
0.521,0.91
0.368,0.161
0.538,0.055
0.326,0.823
0.98,0.848
0.166,0.695
0.424,0.37
0.405,0.224
0.256,0.916
0.173,0.936
0.209,0.11
0.696,0.611
0.288,0.343
0.008,0.707
0.223,0.281
0.629,0.141
0.32,0.161
0.455,0.925
0.358,0.241
0.34,0.722
0.252,0.327
0.391,0.3
0.028,0.095
0.082,0.433
0.067,0.729
0.401,0.035
0.352,0.094
0.115,0.134
0.296,0.09
0.074,0.141
0.818,0.334
0.824,0.068
0.373,0.634
0.763,0.75
0.25,0.544
0.039,0.551
0.762,0.938
0.381,0.536
0.733,0.043
0.282,0.664
0.87,0.871
0.643,0.373
0.06,0.824
0.788,0.478
0.331,0.159
0.27,0.095
0.707,0.822
0.928,0.461
0.758,0.638
0.298,0.253
0.727,0.227
0.495,0.717
0.819,0.51
0.701,0.183
0.546,0.883
0.287,0.232
0.229,0.329
0.222,0.258
0.45,0.424
0.63,0.372
0.24,0.705
0.552,0.913
0.96,0.594
0.983,0.751
0.218,0.683
0.133,0.986
0.682,0.946
0.04,0.31
0.308,0.586
0.927,0.167
0.555,0.747
0.202,0.549
0.234,0.499
0.332,0.83
0.08,0.359
0.711,0.745
0.06,0.544
0.402,0.948
0.657,0.628
0.305,0.703
0.531,0.964
0.846,0.02
0.74,0.539
0.497,0.046
0.287,0.29
0.992,0.182
0.493,0.565
0.203,0.179
0.772,0.827
0.684,0.079
0.839,0.497
0.602,0.706
0.082,0.468
0.215,0.623
0.52,0.18
0.951,0.17
0.22,0.241
0.885,0.365
0.285,0.345
0.996,0.137
0.629,0.176
0.959,0.672
0.087,0.455
0.342,0.604
0.281,0.565
0.084,0.162
0.548,0.434
0.705,0.01
0.545,0.256
0.248,0.533
0.734,0.192
0.137,0.75
0.029,0.53
0.403,0.45
0.792,0.854
0.601,0.45
0.437,0.167
0.756,0.47
0.51,0.379
0.551,0.63
0.739,0.349
0.97,0.416
0.329,0.851
0.492,0.333
0.242,0.434
0.004,0.065
0.245,0.51
0.666,0.226
0.15,0.22
0.655,0.07
0.33,0.533
0.92,0.115
0.188,0.216
0.126,0.501
0.753,0.701
0.646,0.191
0.886,0.215
0.369,0.225
0.494,0.818
0.196,0.81
0.34,0.256
0.275,0.231
0.399,0.404
0.584,0.093
0.812,0.875
0.466,0.197
0.229,0.077
0.424,0.003
0.325,0.392
0.745,0.459
0.998,0.249
0.515,0.246
0.908,0.476
0.405,0.75
0.312,0.36
0.822,0.74
0.712,0.558
0.19,0.138
0.527,0.567
0.782,0.656
0.49,0.622
0.684,0.821
0.335,0.678
0.284,0.425
0.697,0.485
0.77,0.247
0.205,0.267
0.736,0.439
0.312,0.1
0.416,0.346
0.002,0.959
0.224,0.932
0.266,0.222
0.052,0.847
0.599,0.297
0.426,0.902
0.926,0.745
0.638,0.449
0.267,0.744
0.076,0.364
0.597,0.068
0.203,0.308
0.65,0.897
0.364,0.68
0.53,0.112
0.664,0.352
0.792,0.692
0.081,0.521
0.062,0.131
0.498,0.672
0.939,0.272
0.922,0.855
0.137,0.182
0.711,0.288
0.647,0.666
0.798,0.396
0.584,0.131
0.51,0.198
0.682,0.418
0.108,0.448
0.781,0.711
0.541,0.96
0.689,0.173
0.597,0.42
0.576,0.418
0.109,0.704
0.7,0.228
0.7,0.172
0.787,0.547
0.274,0.239
0.65,0.223
0.915,0.912
0.345,0.699
0.181,0.354
0.233,0.471
0.884,0.028
0.484,0.741
0.527,0.724
0.75,0.032
0.289,0.567
0.836,0.193
0.122,0.547
0.463,0.721
0.566,0.798
0.407,0.662
0.249,0.831
0.521,0.251
0.97,0.911
0.686,0.59
0.264,0.999
0.656,0.034
0.581,0.85
0.933,0.79
0.793,0.746
0.864,0.728
0.061,0.063
0.061,0.067
0.922,0.011
0.074,0.982
0.659,0.202
0.763,0.774
0.938,0.681
0.176,0.335
0.744,0.219
0.145,0.728
0.059,0.053
0.979,0.296
0.781,0.324
0.079,0.055
0.959,0.164
0.327,0.841
0.354,0.321
0.242,0.724
0.649,0.967
0.909,0.88
0.629,0.918
0.262,0.192
0.187,0.511
0.727,0.93
0.07,0.61
0.477,0.599
0.758,0.534
0.065,0.5
0.619,0.061
0.521,0.837
0.764,0.576
0.649,0.274
0.08,0.05
0.772,0.048
0.611,0.497
0.804,0.457
0.113,0.665
0.972,0.501
0.147,0.297
0.867,0.663
0.147,0.558
0.809,0.372
0.018,0.525
0.064,0.683
0.839,0.437
0.636,0.13
0.692,0.165
0.375,0.095
0.813,0.015
0.039,0.039
0.868,0.486
0.781,0.304
0.103,0.917
0.799,0.809
0.904,0.124
0.265,0.908
0.346,0.722
0.451,0.612
0.313,0.86
0.881,0.016
0.567,0.635
0.166,0.993
0.966,0.856
0.221,0.989
0.674,0.812
0.281,0.606
0.853,0.304
0.559,0.839
0.687,0.835
0.639,0.47
0.815,0.449
0.97,0.527
0.113,0.339
0.334,0.421
0.772,0.839
0.12,0.07
0.737,0.67
0.082,0.12
0.037,0.631
0.621,0.805
0.525,0.683
0.14,0.54
0.968,0.036
0.19,0.693
0.637,0.416
0.36,0.491
0.857,0.55
0.59,0.458
0.23,0.845
0.1,0.964
0.84,0.939
0.338,0.824
0.106,0.163
0.697,0.381
0.528,0.983
0.92,0.259
0.07,0.835
0.017,0.994
0.622,0.56
0.283,0.551
0.659,0.595
0.647,0.27
0.233,0.914
0.71,0.561
0.904,0.899
0.384,0.965
0.477,0.392
0.729,0.521
0.768,0.69
0.114,0.402
0.895,0.004
0.952,0.87
0.233,0.54
0.511,0.668
0.43,0.398
0.558,0.819
0.832,0.392
0.146,0.769
0.648,0.3
0.721,0.203
0.616,0.689
0.297,0.792
0.93,0.534
0.379,0.531
0.72,0.307
0.627,0.305
0.106,0.703
0.471,0.481
0.869,0.308
0.285,0.783
0.457,0.004
0.151,0.338
0.233,0.292
0.74,0.98
0.471,0.901
0.462,0.439
0.987,0.968
0.844,0.496
0.06,0.89
0.344,0.536
0.747,0.231
0.062,0.919
0.293,0.102
0.782,0.372
0.594,0.997
0.998,0.137
0.256,0.004
